sent_at_unix_ns,latency_us,status
1775317816544898314,1928,ok
1775317816550078997,1546,ok
1775317816548989805,3440,ok
1775317816553510010,3174,ok
1775317816557780787,1589,ok
1775317816560446286,4636,ok
1775317816561536114,4083,ok
1775317816564696649,3141,ok
1775317816566709606,1921,ok
1775317816565620078,4499,ok
1775317816575346497,1986,ok
1775317816576431919,1756,ok
1775317816574263671,5947,ok
1775317816577336515,3252,ok
1775317816579289680,3061,ok
1775317816584489942,1871,ok
1775317816587439326,2833,ok
1775317816589591677,1447,ok
1775317816595178337,1633,ok
1775317816603928701,2147,ok
1775317816613221700,2694,ok
1775317816614302962,1906,ok
1775317816620413224,1530,ok
1775317816620493280,3063,ok
1775317816621505066,3271,ok
1775317816623016939,3713,ok
1775317816626734233,1667,ok
1775317816629472761,2340,ok
1775317816631824516,2527,ok
1775317816638676562,1524,ok
1775317816636518327,3809,ok
1775317816639769582,1593,ok
1775317816640336126,2938,ok
1775317816641347980,3065,ok
1775317816644346245,1448,ok
1775317816645496143,2660,ok
1775317816646855185,2337,ok
1775317816647939505,1833,ok
1775317816651924508,1354,ok
1775317816653005671,2265,ok
1775317816655260904,2108,ok
1775317816656352180,3237,ok
1775317816658129455,2919,ok
1775317816659572681,2346,ok
1775317816664077831,1269,ok
1775317816669553505,2132,ok
1775317816676832503,2204,ok
1775317816677921070,1671,ok
1775317816681741879,1561,ok
1775317816688456239,1784,ok
1775317816697389985,2126,ok
1775317816698474299,1490,ok
1775317816699950489,3227,ok
1775317816712253485,1641,ok
1775317816713881733,1957,ok
1775317816725989927,2820,ok
1775317816729879415,2354,ok
1775317816738384069,1535,ok
1775317816742061033,2961,ok
1775317816744245223,2293,ok
1775317816743156168,3724,ok
1775317816745004764,2190,ok
1775317816746867567,2255,ok
1775317816750207939,3907,ok
1775317816753360648,2353,ok
1775317816755188710,2514,ok
1775317816757693066,1814,ok
1775317816758782538,1681,ok
1775317816760454095,2744,ok
1775317816762614335,1627,ok
1775317816765375135,1886,ok
1775317816765444577,1847,ok
1775317816766467400,3236,ok
1775317816774968018,1881,ok
1775317816773886119,3337,ok
1775317816779370892,1831,ok
1775317816782287647,2206,ok
1775317816780451934,4832,ok
1775317816785274804,3678,ok
1775317816788435095,3048,ok
1775317816788950697,7021,ok
1775317816795559117,2281,ok
1775317816801071333,1660,ok
1775317816799981434,3243,ok
1775317816802715150,2582,ok
1775317816803223986,2325,ok
1775317816807724431,1796,ok
1775317816805552460,4372,ok
1775317816806632807,3294,ok
1775317816810983294,1761,ok
1775317816812148078,1935,ok
1775317816812076013,2438,ok
1775317816815589555,2554,ok
1775317816817750507,3386,ok
1775317816821126805,2339,ok
1775317816827614028,2103,ok
1775317816829705912,2026,ok
1775317816832812728,1911,ok
1775317816834713415,4038,ok
1775317816836869983,2063,ok
1775317816837971512,1992,ok
1775317816839962279,2025,ok
1775317816841047758,1977,ok
1775317816843026015,1538,ok
1775317816845640849,2252,ok
1775317816847792913,1570,ok
1775317816847911709,2492,ok
1775317816850393596,2007,ok
1775317816854541128,1699,ok
1775317816856249999,1618,ok
1775317816858942613,3143,ok
1775317816865224681,4465,ok
1775317816866378736,3891,ok
1775317816866317070,4217,ok
1775317816868487270,4218,ok
1775317816869702317,3528,ok
1775317816871611607,2842,ok
1775317816875609634,1946,ok
1775317816876690579,3037,ok
1775317816882866224,2034,ok
1775317816886977183,1912,ok
1775317816888060264,1969,ok
1775317816889969618,4163,ok
1775317816898274026,3811,ok
1775317816902092372,1616,ok
1775317816903164106,4224,ok
1775317816906786076,1824,ok
1775317816910753640,1776,ok
1775317816912531086,2608,ok
1775317816912622786,3828,ok
1775317816917526559,1371,ok
1775317816918879382,2422,ok
1775317816919990838,4718,ok
1775317816922408269,3466,ok
1775317816924494301,3786,ok
1775317816932421799,4115,ok
1775317816933513771,3516,ok
1775317816937039036,4656,ok
1775317816942760842,1749,ok
