timestamp,cpu4,cpu6,cpu8,cpu10
1775425217424509,100,100,100,100
1775425217475270,100,100,100,100
1775425217525976,80,100,75,83.3333
1775425217576705,100,80,83.3333,60
1775425217627438,80,80,60,25
1775425217678061,80,75,66.6667,50
1775425217728719,100,80,100,100
1775425217779370,83.3333,100,60,75
1775425217830071,80,50,60,40
1775425217880705,80,100,80,66.6667
1775425217931327,83.3333,66.6667,66.6667,60
1775425217981996,75,75,40,40
1775425218032727,100,100,100,80
1775425218083408,100,80,75,60
1775425218134122,75,80,40,25
1775425218184835,100,85.7143,100,80
1775425218235478,100,100,100,100
1775425218286169,100,100,100,100
1775425218336858,100,100,83.3333,80
1775425218387509,66.6667,80,50,40
1775425218438205,80,66.6667,0,0
1775425218488929,100,83.3333,83.3333,80
1775425218539633,100,100,100,100
1775425218590315,83.3333,50,40,0
1775425218640965,60,60,50,25
1775425218691631,100,75,60,50
1775425218742326,80,100,80,60
1775425218792928,100,80,83.3333,71.4286
1775425218843611,100,100,100,100
1775425218894323,83.3333,80,80,75
1775425218945244,75,100,75,66.6667
1775425218996127,83.3333,66.6667,50,25
1775425219046866,100,100,75,60
1775425219097612,83.3333,60,40,0
1775425219148299,80,80,60,50
1775425219199007,100,80,100,83.3333
1775425219249637,83.3333,60,50,40
1775425219300296,100,100,100,100
1775425219351050,100,75,66.6667,40
1775425219401772,83.3333,83.3333,66.6667,75
1775425219452556,100,100,83.3333,100
1775425219503293,83.3333,66.6667,60,42.8571
1775425219553943,80,80,83.3333,80
1775425219604585,80,80,60,50
1775425219655312,100,83.3333,75,66.6667
1775425219706055,100,100,80,80
1775425219756728,75,71.4286,66.6667,33.3333
1775425219807410,85.7143,100,100,66.6667
1775425219858069,66.6667,66.6667,66.6667,25
1775425219908737,80,80,60,20
1775425219959398,100,80,60,60
1775425220010145,75,83.3333,80,60
1775425220060888,83.3333,50,50,33.3333
1775425220111632,80,83.3333,66.6667,25
1775425220162303,80,75,80,75
1775425220212996,100,80,60,50
1775425220263724,83.3333,80,60,60
1775425220314439,75,75,50,20
1775425220365148,100,85.7143,83.3333,83.3333
1775425220415747,80,80,50,40
1775425220466344,75,50,60,40
1775425220516980,83.3333,80,66.6667,60
1775425220567624,75,85.7143,66.6667,60
1775425220618319,85.7143,66.6667,50,40
1775425220669044,75,71.4286,66.6667,50
1775425220719749,100,100,75,25
1775425220770390,100,80,83.3333,80
1775425220821100,80,80,100,60
1775425220871772,80,75,40,20
1775425220922466,80,80,75,60
1775425220973176,100,85.7143,83.3333,60
1775425221023950,80,75,80,80
1775425221074653,75,66.6667,40,20
1775425221125338,100,100,66.6667,50
1775425221176038,80,66.6667,80,40
1775425221226676,83.3333,80,50,25
1775425221277322,100,75,80,80
1775425221328005,85.7143,83.3333,75,50
1775425221378734,75,80,66.6667,50
1775425221429468,75,66.6667,25,50
1775425221480116,80,66.6667,50,20
1775425221530810,80,80,66.6667,60
1775425221581508,100,85.7143,100,66.6667
1775425221632205,80,100,83.3333,75
1775425221682939,100,80,80,50
1775425221733700,83.3333,50,60,40
1775425221784362,80,60,25,20
1775425221835085,100,100,83.3333,80
1775425221885743,80,80,80,66.6667
1775425221936423,100,100,100,100
1775425221987074,100,100,66.6667,60
1775425222037833,80,83.3333,66.6667,50
1775425222088531,100,60,40,20
1775425222139184,83.3333,80,60,60
1775425222189888,50,66.6667,40,16.6667
1775425222240534,100,75,66.6667,25
1775425222291280,80,85.7143,80,71.4286
1775425222341909,83.3333,100,40,50
1775425222392514,100,66.6667,60,25
1775425222443189,83.3333,60,50,33.3333
1775425222493891,83.3333,83.3333,66.6667,40
1775425222544551,100,80,80,75
1775425222595282,80,80,60,50
1775425222645974,71.4286,66.6667,40,0
1775425222696632,100,80,40,40
1775425222747331,80,80,57.1429,40
1775425222797978,83.3333,66.6667,66.6667,20
1775425222848636,83.3333,83.3333,66.6667,60
1775425222899251,100,66.6667,60,40
1775425222949856,100,66.6667,60,40
1775425223000566,85.7143,100,80,80
1775425223051211,100,100,100,100
1775425223101860,80,85.7143,60,40
1775425223152562,83.3333,80,60,60
1775425223203313,75,60,50,20
1775425223254008,80,57.1429,66.6667,16.6667
1775425223304659,75,66.6667,66.6667,50
1775425223355324,80,66.6667,40,50
1775425223406012,100,80,60,60
1775425223456687,75,83.3333,60,25
1775425223507402,85.7143,100,100,83.3333
1775425223558127,100,75,60,50
1775425223608812,83.3333,75,50,33.3333
1775425223659526,100,100,100,100
1775425223710254,100,80,80,60
1775425223760915,71.4286,66.6667,33.3333,20
1775425223811528,66.6667,50,40,20
1775425223862235,100,100,83.3333,100
1775425223912877,66.6667,83.3333,50,0
1775425223963496,100,80,60,66.6667
1775425224014206,80,66.6667,50,20
1775425224064849,100,83.3333,83.3333,80
1775425224115506,80,60,50,40
1775425224166158,80,80,75,50
1775425224216827,80,66.6667,50,20
1775425224267436,83.3333,66.6667,50,20
1775425224318139,80,80,80,50
1775425224368836,80,66.6667,20,0
1775425224419534,80,80,60,40
1775425224470236,80,50,33.3333,25
1775425224520870,80,83.3333,66.6667,66.6667
1775425224571566,100,80,71.4286,60
1775425224622262,60,60,50,40
1775425224672920,100,75,60,60
1775425224724167,83.3333,100,100,80
1775425224774987,66.6667,80,60,60
1775425224825701,83.3333,100,83.3333,80
1775425224876614,75,66.6667,50,20
1775425224927260,83.3333,60,50,50
1775425224977933,80,83.3333,50,50
1775425225028586,60,66.6667,40,20
1775425225079261,80,66.6667,50,20
1775425225129941,83.3333,80,40,20
1775425225180578,100,100,83.3333,80
1775425225231214,60,40,50,20
1775425225281896,80,60,33.3333,0
1775425225332534,80,71.4286,60,33.3333
1775425225383237,80,75,40,42.8571
1775425225433892,66.6667,66.6667,50,0
1775425225484563,75,50,50,40
1775425225535280,80,66.6667,60,33.3333
1775425225585987,75,100,75,50
